cell_id,lat,lon,eq_count,eq_mag_mean,eq_mag_max,eq_depth_mean,eq_energy_log,eq_days_since_last_major,cyclone_count,wind_mean,wind_max,pressure_min_mean,dist_nearest_volcano_km,volcano_count
835b91fffffffff,15.244258633544074,-178.23244577218728,0.0,,,,,,10.0,51.0,95.0,992.8,3441.616055076546,0
838c05fffffffff,-9.992940659530408,104.84958122399422,0.0,,,,,,25.0,26.73913043478261,50.0,1000.86,634.150668835101,0
839285fffffffff,-12.836507582124641,-110.81791202279648,4.0,4.75,5.0,10.0,12.592436713940325,,0.0,,,,6966.453069784761,0
833c86fffffffff,20.66895971092736,82.92563404253758,0.0,,,,,,30.0,28.25,65.0,992.9166666666666,4006.1929018783426,0
835ae9fffffffff,18.83387692107041,165.12761913011585,0.0,,,,,,9.0,52.5,90.0,984.75,2931.2193903562224,0
83a54efffffffff,-17.468974547963587,-20.039454351325904,0.0,,,,,,0.0,,,,4266.809695912331,0
839102fffffffff,-15.427556658497624,-124.18126512637774,0.0,,,,,,0.0,,,,5498.128892777954,0
8394e9fffffffff,-15.199210175311022,132.5338797391244,0.0,,,,,,35.0,18.671875,30.0,1000.546875,986.2317560082585,0
83bb02fffffffff,-40.886759974839286,-179.55688782685755,1.0,4.6,4.6,33.0,11.7,,1.0,30.0,30.0,997.0,453.90958285877724,0
836a0bfffffffff,5.516014076744616,29.415496424599002,0.0,,,,,,0.0,,,,770.2871003891022,0
836f11fffffffff,-1.0876446990175441,-114.25899192461209,0.0,,,,,,0.0,,,,6915.454919417313,0
83dd84fffffffff,-58.62728123912957,-2.372639614967209,0.0,,,,,,0.0,,,,6175.099596864693,0
830ecefffffffff,50.895773555679455,-82.5492935306462,0.0,,,,,,0.0,,,,7014.688462443044,0
830290fffffffff,71.6458184163892,-137.99571478948616,1.0,4.9,4.9,33.0,12.15,,0.0,,,,6589.797584919335,0
839146fffffffff,-9.79565319999517,-127.3662386106319,0.0,,,,,,0.0,,,,5264.505177251497,0
83a1a4fffffffff,-24.33188039796384,-128.23193895327495,1.0,5.6,5.6,10.0,13.2,,1.0,43.75,43.75,988.125,5024.028660484702,0
832aa3fffffffff,40.66358355532041,-78.18074135409113,0.0,,,,,,4.0,30.625,45.0,999.75,7355.596224554643,0
83848efffffffff,-12.756435926003642,62.77760011178967,1.0,4.9,4.9,10.0,12.15,,85.0,31.17142857142857,82.5,997.5285714285715,1206.0088264265248,0
83d81cfffffffff,-48.28897258805333,135.24948400280445,0.0,,,,,,0.0,,,,3479.6125439649354,0
83d041fffffffff,-45.71907868122851,23.92254110502806,0.0,,,,,,0.0,,,,3964.576218514722,0
8362c3fffffffff,5.67134806943692,62.79511384214704,0.0,,,,,,0.0,,,,2408.605465623563,0
836ef1fffffffff,10.866852111099824,-115.07344275824659,0.0,,,,,,49.0,36.88775510204081,105.0,1003.234375,7286.248529626005,0
83e0ebfffffffff,-53.08338013102834,51.528510445153614,0.0,,,,,,0.0,,,,3558.316956560105,0
83c759fffffffff,-35.853203188771765,-142.5047269742637,0.0,,,,,,3.0,34.166666666666664,42.5,995.3333333333334,3572.0675331570887,0
83214efffffffff,54.073779457930605,75.68134119045091,0.0,,,,,,0.0,,,,4283.893217429582,0
8331aafffffffff,40.10896070152834,116.70663889931512,0.0,,,,,,0.0,,,,1462.3142683696879,0
83356efffffffff,38.14344394901163,-13.621842837102982,41.0,3.63,4.6,16.317073170731707,12.372344994511407,,1.0,12.5,12.5,1010.5,2370.9016089974507,0
8320a6fffffffff,39.64924868974228,67.14962595102612,15.0,4.795333333333334,5.7,25.061999999999998,13.58513522502548,,0.0,,,,3642.0941474373017,0
835c44fffffffff,11.620876865616589,-143.26725496614512,0.0,,,,,,33.0,39.621212121212125,140.0,994.15625,4674.285545244033,0
839b0efffffffff,-20.197746887353876,-174.38948870345683,459.0,4.992135076252724,8.0,32.3357385620915,16.867155065441416,480.0,31.0,51.71296296296296,110.0,980.2037037037037,527.8164596151286,0
8348d2fffffffff,33.48890010052192,-102.74858321561564,0.0,,,,,,0.0,,,,9445.78808911339,0
832549fffffffff,50.82096727988321,111.83474970270787,0.0,,,,,,0.0,,,,2510.1190044780956,0
834adcfffffffff,16.462832825378882,135.9503711803044,0.0,,,,,,118.0,58.52040816326531,117.5,976.1184210526316,1343.6945616471512,0
83b7a3fffffffff,-34.71048733568451,-88.08145001857194,0.0,,,,,,0.0,,,,8113.41566105731,0
8313a6fffffffff,63.70532691950563,-136.00514149537193,0.0,,,,,,0.0,,,,6905.498507509331,0
